Scientific name,Scientific name modif,English,Chinese,Chinese (Traditional),Czech,Danish,Dutch,Estonian,Finnish,French,French_modif,German,Hungarian,Italian,Japanese,Lithuanian,Norwegian,Polish,Portuguese,Russian,Slovak,Spanish,Swedish
Corvus nasicus,Corvus nasicus,Cuban Crow,???,???,vrána bahamská,Cubakrage,Cubaanse Kraai,kuuba vares,kuubanvaris,Corneille de Cuba,Corneille de Cuba,Kubakrähe,kubai varjú,Corvo di Cuba,???????,0,Kubakr?ke,wrona kuba?ska,0,????????? ?????,vrana antilská,Cuervo Cubano,Kubakr?ka
Corvus leucognaphalus,Corvus leucognaphalus,White-necked Crow,?????,???,vrána hispaniolská,Hispaniolakrage,Witnekkraai,haiti vares,haitinvaris,Corneille d'Hispaniola,Corneille d'Hispaniola,Antillenkrähe,antillai varjú,Corvo collobianco,?????????,0,Hispaniolakr?ke,wrona antylska,0,?????????? ?????,vrana karibská,Cuervo de la Española,Hispaniolakr?ka
Corvus hawaiiensis,Corvus hawaiiensis,Hawaiian Crow,?????,????,vrána havajská,Hawaiikrage,Hawaiikraai,havai vares,havaijinvaris,Corneille d'Hawaï,Corneille d'Hawaï,Hawaiikrähe,hawaii holló,Corvo delle Hawaii,??????,Havajin? varna,Hawaiikr?ke,wrona ogorza?a,Corvo-do-hawaii,????????? ?????,vrana havajská,Cuervo Hawaiano,Hawaiikr?ka
Corvus corone,Corvus corone,Carrion Crow,????,?????????,vrána ?erná,Sortkrage,Zwarte Kraai,mustvares,varis,Corneille noire,Corneille noire,Rabenkrähe,kormos varjú,Cornacchia nera,???????,Juodoji varna,Svartkr?ke,czarnowron,Gralha-preta,??????????? ?????? ??????,vrana ?ierna,Corneja Negra,Svartkr?ka
Corvus cornix,Corvus cornix,Hooded Crow,?????,???,vrána ?edá,Gr?krage,Bonte Kraai,hallvares,0,Corneille mantelée,Corneille mantelée,Nebelkrähe,dolmányos varjú,Cornacchia grigia,??????,Pilkoji varna,Kr?ke,wrona (zwyczajna),Gralha-cinzenta,????? ??????,vrana popolavá,Corneja Cenicienta,Gr?kr?ka
Corvus torquatus,Corvus torquatus,Collared Crow,???,????????,vrána obojková,B?ndkrage,Halsbandkraai,kaelusvares,kiinanvaris,Corbeau à collier,Corbeau à collier,Halsbandkrähe,nyakörves varjú,Corvo dal collare,??????,0,Kinakr?ke,wrona obro¿na,0,??????????? ?????,vrana obojková,Cuervo Acollarado,Halsbandskr?ka
Corvus macrorhynchos,Corvus macrorhynchos,Large-billed Crow,????,?????????,vrána hrubozobá,Storn?bbet Krage,Dikbekkraai,suurnokk-vares,paksunokkavaris,Corbeau à gros bec,Corbeau à gros bec,Dschungelkrähe,dzsungelvarjú,Corvo beccogrosso,???????,Ilgasnap? varna,Tykknebbkr?ke,wrona wielkodzioba,Corvo-de-bico-grossudo,???????????? ??????,vrana hrubozobá,Cuervo Picudo,Stornäbbad kr?ka
Corvus levaillantii,Corvus levaillantii,Eastern Jungle Crow,???,?????,0,Junglekrage,Oostelijke Junglekraai,d?unglivares,0,Corbeau de Levaillant,Corbeau de Levaillant,Dickschnabelkrähe,0,Cornacchia della giungla,0,0,0,wrona indochi?ska,0,0,vrana ve?kozobá,0,0
Corvus culminatus,Corvus culminatus,Indian Jungle Crow,?????,?????,0,0,Indiase Junglekraai,0,0,Corbeau indien,Corbeau indien,0,0,0,0,0,0,wrona hinduska,0,0,vrana indická,0,0
Corvus orru,Corvus orru,Torresian Crow,???,???,vrána australská,Torreskrage,Australische Kraai,viljavares,savannivaris,Corbeau de Torres,Corbeau de Torres,Salvadorikrähe,torresi varjú,Corvo di Torres,??????,0,Australkr?ke,wrona papuaska,0,????????????? ?????,vrana orru,Cuervo de Torres,Australkr?ka
